keyword,job_title,company,location,work_type,salary,skills,job_url,description,n_skills_raw,skills_list,n_skills
Back End Developer,Back-end Developer,Keyvoto,Yunani (Jarak Jauh),Remote,,"C, C#, CSS3, HTML5, Python, SQL",https://www.linkedin.com/jobs/view/4412722324/,"Keyvoto Back-end Developer Yunani · 2 minggu yang lalu · 70 pelamar Belum ada wawasan respons yang tersedia Jarak Jauh Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan 70 pelamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini Keyvoto is seeking a motivated Back-end Developer to join our team and help build functional systems that enhance customer experience in Retail Tech. As a Back-end Developer, you will manage the server-side of our web applications and collaborate closely with our engineers to ensure system consistency and improve customer satisfaction. If you possess excellent programming skills and a passion for developing or improving applications, we w",6,"['c#', 'css3', 'html5', 'python', 'sql']",5
Back End Developer,Java Back-End Developer with Banking Experience,Müller's Solutions,"Riyadh, Riyadh, Arab Saudi (Di Kantor)",On-site,,"Docker, Git, GitLab, Hibernate, Java, Jenkins, Microservices Architecture, MySQL, PostgreSQL, Postman, RESTful APIs, RabbitMQ, SQL",https://www.linkedin.com/jobs/view/4419444263/,"Müller's Solutions Java Back-End Developer with Banking Experience Riyadh, Riyadh, Arab Saudi · 1 hari yang lalu · Lebih dari 100 pelamar Belum ada wawasan respons yang tersedia Di Kantor Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini Müller's Solutions is looking for a talented Java Back-End Developer to join our innovative team. In this role, you will be responsible for designing, developing, and maintaining back-end systems that power our applications. You will work collaboratively with front-end developers, product owners, and other stakeholders to build robust and scalable services that mee",13,"['docker', 'git', 'gitlab', 'hibernate', 'java', 'jenkins', 'microservices architecture', 'mysql', 'postgresql', 'postman', 'restful apis', 'rabbitmq', 'sql']",13
Back End Developer,Back End Developer,RXPERT ADVISORS PRIVATE LIMITED,"Delhi, India (Di Kantor)",On-site,,"C, C++, Foundation, GitHub, Java, Netlify, Vercel",https://www.linkedin.com/jobs/view/4415787641/,"RXPERT ADVISORS PRIVATE LIMITED Back End Developer Delhi, India · Dibagikan 5 hari yang lalu · Lebih dari 100 pelamar Dipromosikan oleh perekrut • Meninjau pelamar secara aktif Di Kantor Penuh waktu 0 dari 10 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini Backend Developer – AI Real Estate Agent (Early Stage Startup) We’re building an AI-powered agent for real estate and we’re looking for a hands-on backend developer to grow with us from the ground up. What You’ll Do •	Build and own core backend features and search infrastructure for our AI agent •	Deploy and manage code on real servers (not ",7,"['c++', 'foundation', 'github', 'java', 'netlify', 'vercel']",6
Back End Developer,Back End Developer with verification,Digital Waffle,Spanyol (Jarak Jauh),Remote,,"Docker, Git, GitLab, Google Cloud Platform (GCP), Kubernetes, MongoDB, Node.js, Redis, SOLID Principles, SQL",https://www.linkedin.com/jobs/view/4417149077/,"Digital Waffle Back End Developer Spanyol · 5 hari yang lalu · Lebih dari 100 pelamar Dipromosikan oleh penyewa • Waktu peninjauan perusahaan biasanya 1 beberapa minggu Jarak Jauh Penuh waktu 0 dari 10 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Luke Rose • Ke-3+ Manager (AI & Data Recruitment) at Digital Waffle Pemasang posting pekerjaan Pesan Tentang pekerjaan ini Senior Backend Developer - Node.js Remote | Europe A fast-growing global consumer technology company is looking for a Senior Node.js Backend Developer to join its international engineeri",10,"['docker', 'git', 'gitlab', 'google cloud platform (gcp)', 'kubernetes', 'mongodb', 'node.js', 'redis', 'solid principles', 'sql']",10
Back End Developer,Junior Back-End Developer,Analyticsmart,"Toronto, ON (Di Kantor)",On-site,,"Angular, Computer Vision, Docker, Git, JavaScript, MySQL, Node.js, RESTful APIs, SQL",https://www.linkedin.com/jobs/view/4417479483/,"Analyticsmart Junior Back-End Developer Toronto, ON · 6 hari yang lalu · Lebih dari 100 orang mengklik Lamar Respons dikelola di luar LinkedIn Di Kantor Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan lebih dari 100 orang lain yang mengklik lamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini About Analyticsmart Consulting Inc Analyticsmart is a boutique analytics firm specializing in the Consumer-Packaged Goods (CPG) industry across Canada and the United States. Our mission is to transform data into meaningful, measurable, and actionable insights that drive growth and profitability for businesses. By leveraging cutting-edge technology, we optimize decision-m",9,"['angular', 'computer vision', 'docker', 'git', 'javascript', 'mysql', 'node.js', 'restful apis', 'sql']",9
Back End Developer,Back End Developer | Mobile | Remote with verification,Orbis Group,Britania Raya (Jarak Jauh),Remote,,"DynamoDB, Node.js, TypeScript",https://www.linkedin.com/jobs/view/4407852064/,"Orbis Group Back End Developer | Mobile | Remote Britania Raya · 1 bulan yang lalu · Lebih dari 100 pelamar Dipromosikan oleh perekrut • Meninjau pelamar secara aktif 100K GBP/yr - 115K GBP/yr Jarak Jauh Penuh waktu 0 dari 8 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Joe Davies • Ke-3+ Senior Managing Consultant | Trading Tech Recruitment | Team Lead @ Orbis | Hiring Engineers for Hedge Funds, HFTs & FinTech | EMEA & US Pemasang posting pekerjaan Pesan Tentang pekerjaan ini Senior Backend Engineer – Mobile - Fully Remote Anywhere in UK & Europe! £1",3,"['dynamodb', 'node.js', 'typescript']",3
Back End Developer,Back End Developer,"Precise Resource, Inc","Area Metropolitan Columbus, Ohio (Di Kantor)",On-site,,"Amazon Web Services (AWS), Django, Python, SOAP, TypeScript",https://www.linkedin.com/jobs/view/4418002879/,"Precise Resource, Inc Back End Developer Area Metropolitan Columbus, Ohio · 5 hari yang lalu · 85 pelamar Dipromosikan oleh pembuka lowongan • Wawasan respons belum tersedia 175K USD/yr - 185K USD/yr Di Kantor Penuh waktu 0 dari 6 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 85 pelamar Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Janis Mitchell 💫 • Ke-3+ Founder | Entrepreneurship | Executive Search Pemasang posting pekerjaan Pesan Tentang pekerjaan ini Sorry - NO C2C NO H1B! Engineer III — Backend / Platform Engineer The search for a Senior Backend / Web Engineer has begun! Precise Resource, Inc., a leading pr",5,"['amazon web services (aws)', 'django', 'python', 'soap', 'typescript']",5
Back End Developer,Back End Developer (Java / Spring Boot) with verification,Quest Recruitment,"Dublin, County Dublin, Irlandia (Gabungan)",Hybrid,,"Angular, Docker, Java, Kubernetes, Microservices Architecture, Spring Boot",https://www.linkedin.com/jobs/view/4416200890/,"Quest Recruitment Back End Developer (Java / Spring Boot) Dublin, County Dublin, Irlandia · 1 minggu yang lalu · Lebih dari 100 pelamar Dipromosikan oleh perekrut • Meninjau pelamar secara aktif 50K EUR/yr - 70K EUR/yr Gabungan Penuh waktu 0 dari 10 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Tentang pekerjaan ini We’re working with a leading global financial services organisation as they continue to scale out their Dublin engineering function following a major new client win. They’re looking to hire Senior Backend Engineers to join a high-performing team working on large-scale, business-critical platforms resp",6,"['angular', 'docker', 'java', 'kubernetes', 'microservices architecture', 'spring boot']",6
Back End Developer,Back End Developer,TechShack,"Berlin, Jerman (Gabungan)",Hybrid,,"Docker, Kubernetes, PostgreSQL, RabbitMQ, Rust",https://www.linkedin.com/jobs/view/4419428858/,"TechShack Back End Developer Berlin, Jerman · 1 hari yang lalu · Lebih dari 100 pelamar Dipromosikan oleh penyewa • Waktu peninjauan perusahaan biasanya 1 beberapa minggu Gabungan Penuh waktu 0 dari 10 keahlian cocok Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Jamie Purkiss • Ke-3+ Recruitment Consultant at TechShack London. Pemasang posting pekerjaan Pesan Tentang pekerjaan ini Golang Engineer | Go, Microservices, Cloud | Hybrid – Berlin, Germany | Up to €110,000 We’re looking for experienced Golang engineers to join a fast-growing product-led scale-up building h",5,"['docker', 'kubernetes', 'postgresql', 'rabbitmq', 'rust']",5
Back End Developer,Back End Developer with verification,RED Global,Spanyol (Jarak Jauh),Remote,,"C, Python, SQL",https://www.linkedin.com/jobs/view/4412014439/,"RED Global Back End Developer Spanyol · 1 minggu yang lalu · Lebih dari 100 pelamar Dipromosikan oleh perekrut • Meninjau pelamar secara aktif Jarak Jauh Penuh waktu Lamar Simpan Lihat perbandingan Anda dengan 100 pelamar lain Akses wawasan pelamar eksklusif, lihat pekerjaan di mana Anda memiliki peluang terbesar untuk dihubungi balik, dan lainnya. Coba Premium seharga Rp 0 Orang yang dapat Anda hubungi Berkenalan dengan tim perekrutan Crystal C. • Ke-3+ Senior IT Recruiter Pemasang posting pekerjaan Pesan Tentang pekerjaan ini ***Spanish Speaking Senior Backend Developer - Spain- Contract+ Extension - Remote *** Hi , This is Crystal from RED Global and I'm seeking a Spanish Speaking Senior Backend Developer - Spain- The role is full Remote. Job Title: Senior Backend Developer - Spain Loca",3,"['python', 'sql']",2
