job_mapped,skills,work_type,keyword,company
Back End Developer,"['c#', 'css3', 'html5', 'python', 'sql']",Remote,Back End Developer,Keyvoto
Back End Developer,"['docker', 'git', 'gitlab', 'hibernate', 'java', 'jenkins', 'microservices architecture', 'mysql', 'postgresql', 'postman', 'restful apis', 'rabbitmq', 'sql']",On-site,Back End Developer,Müller's Solutions
Back End Developer,"['c++', 'foundation', 'github', 'java', 'netlify', 'vercel']",On-site,Back End Developer,RXPERT ADVISORS PRIVATE LIMITED
Back End Developer,"['docker', 'git', 'gitlab', 'google cloud platform (gcp)', 'kubernetes', 'mongodb', 'node.js', 'redis', 'solid principles', 'sql']",Remote,Back End Developer,Digital Waffle
Back End Developer,"['angular', 'computer vision', 'docker', 'git', 'javascript', 'mysql', 'node.js', 'restful apis', 'sql']",On-site,Back End Developer,Analyticsmart
Mobile Developer,"['dynamodb', 'node.js', 'typescript']",Remote,Back End Developer,Orbis Group
Back End Developer,"['amazon web services (aws)', 'django', 'python', 'soap', 'typescript']",On-site,Back End Developer,"Precise Resource, Inc"
Back End Developer,"['angular', 'docker', 'java', 'kubernetes', 'microservices architecture', 'spring boot']",Hybrid,Back End Developer,Quest Recruitment
Back End Developer,"['docker', 'kubernetes', 'postgresql', 'rabbitmq', 'rust']",Hybrid,Back End Developer,TechShack
Back End Developer,"['python', 'sql']",Remote,Back End Developer,RED Global
Back End Developer,"['bash', 'git', 'junit', 'java', 'jenkins', 'kubernetes', 'rabbitmq', 'sql']",Hybrid,Back End Developer,Wipro Romania
Back End Developer,"['docker', 'kubernetes', 'mongodb', 'mysql', 'postgresql', 'python', 'redis', 'reverse engineering']",Remote,Back End Developer,idpp
Back End Developer,"['cryptography', 'docker', 'edge computing', 'foundation', 'mongodb', 'numpy', 'opencv', 'pandas', 'postgresql', 'python', 'rust', 'sql', 'scikit-learn']",Hybrid,Back End Developer,Datasent
Back End Developer,"['docker', 'git', 'kubernetes', 'laravel', 'mongodb', 'php', 'restful apis', 'redis', 'sql']",Remote,Back End Developer,Prime Insights
Back End Developer,"['docker', 'figma', 'mongodb', 'mysql', 'node.js', 'restful apis']",Hybrid,Back End Developer,Supono Holdings LTD
Back End Developer,"['c#', 'entity framework', 'java', 'node.js', 'python', 'sql']",On-site,Back End Developer,Hyalli
Back End Developer,"['aws lambda', 'datadog', 'dynamodb', 'node.js', 'typescript']",Hybrid,Back End Developer,Insight Global
Back End Developer,"['java', 'kotlin', 'kubernetes', 'mysql', 'postgresql', 'sql', 'spring boot']",On-site,Back End Developer,TALENT Software Services
Back End Developer,"['amazon web services (aws)', 'docker', 'graphql', 'java', 'microservices architecture', 'python', 'rabbitmq', 'sql', 'scala', 'typescript']",Hybrid,Back End Developer,Lorien
Back End Developer,"['laravel', 'mysql', 'node.js', 'php']",Remote,Back End Developer,Crossing Hurdles
Back End Developer,"['mongodb', 'node.js', 'typescript']",On-site,Back End Developer,NearTech Search
Back End Developer,"['git', 'java', 'mysql', 'restful apis', 'spring boot']",On-site,Back End Developer,Whish Money
Back End Developer,"['postgresql', 'python', 'snowflake', 'typescript']",On-site,Back End Developer,Mentor Talent Acquisition
Back End Developer,"['express.js', 'mongodb', 'node.js', 'restful apis', 'sql', 'scrum']",Hybrid,Back End Developer,InnoTech
Back End Developer,"['c++', 'fastapi', 'github', 'github actions', 'jenkins', 'kubernetes', 'postgresql', 'pytest', 'python', 'rabbitmq']",Remote,Back End Developer,ROVI Pharmaceutical Company
Back End Developer,"['bash', 'git', 'google cloud platform (gcp)', 'junit', 'java', 'jenkins', 'kubernetes', 'rabbitmq', 'sql']",Hybrid,Back End Developer,Wipro Romania
Back End Developer,"['node.js', 'typescript']",Hybrid,Back End Developer,Searchability®
Back End Developer,"['docker', 'git', 'node.js', 'postgresql', 'redis', 'sql', 'typeorm', 'typescript']",Remote,Back End Developer,Factor IT
Back End Developer,"['kubernetes', 'mlops', 'machine learning', 'microsoft azure', 'mongodb', 'python', 'restful apis', 'redis', 'rust', 'sql', 'typescript']",Remote,Back End Developer,Explore Group
Back End Developer,"['git', 'javascript', 'less', 'nestjs', 'node.js', 'sql', 'typescript']",Remote,Back End Developer,Crowded
Back End Developer,"['c++', 'fastapi', 'github', 'github actions', 'jenkins', 'kubernetes', 'postgresql', 'pytest', 'python', 'rabbitmq']",Remote,Back End Developer,ROVI Pharmaceutical Company
Back End Developer,"['java', 'restful apis', 'spring boot']",Remote,Back End Developer,exequt
Back End Developer,"['elasticsearch', 'fastapi', 'google cloud platform (gcp)', 'machine learning', 'python']",Hybrid,Back End Developer,Brainial
Back End Developer,"['angular', 'dynamodb', 'javascript', 'node.js', 'serverless architecture', 'typescript', 'vue.js', 'webpack']",Remote,Back End Developer,Okendo
Back End Developer,"['devsecops', 'docker', 'java', 'javascript', 'kubernetes', 'python']",Hybrid,Back End Developer,Carbyne Consulting
Back End Developer,"['docker', 'graphql', 'java', 'kubernetes', 'microsoft azure', 'node.js', 'python', 'sql', 'terraform', 'typescript']",Remote,Back End Developer,develop
Back End Developer,"['amazon web services (aws)', 'data modeling', 'docker', 'fastapi', 'kubernetes', 'python']",Hybrid,Back End Developer,WorkGenius Group
Back End Developer,"['docker', 'dynamodb', 'generative ai', 'kubernetes', 'large language models (llms)', 'python', 'snowflake']",Remote,Back End Developer,AllCloud
Java Developer,"['java', 'javascript', 'postgresql', 'sql']",Hybrid,Back End Developer,Vusion
Back End Developer,"['datadog', 'graphql', 'typescript']",Remote,Back End Developer,Baselane
Back End Developer,"['confluence', 'django', 'dynamodb', 'fastapi', 'flask', 'github', 'github actions', 'javascript', 'kanban', 'postgresql', 'python', 'scrum', 'typescript']",Hybrid,Back End Developer,Digital Waffle
Back End Developer,"['git', 'javascript', 'scrum']",Hybrid,Back End Developer,Deloitte
Back End Developer,"['devsecops', 'github', 'github actions', 'terraform']",On-site,Back End Developer,DFYNE
Back End Developer,"['java', 'microsoft sql server', 'restful apis', 'sql']",On-site,Back End Developer,Elsevier
Back End Developer,"['codeigniter', 'git', 'java', 'javascript', 'laravel', 'mongodb', 'mysql', 'php']",On-site,Back End Developer,Orca Maritime Tools
Back End Developer,"['java', 'php', 'python']",On-site,Back End Developer,MindzMap | Digital Solutions
Python Developer,"['clickhouse', 'cryptography', 'django', 'docker', 'elasticsearch', 'fastapi', 'flask', 'gitlab', 'gitlab ci/cd', 'postgresql', 'python', 'restful apis', 'rabbitmq']",On-site,Back End Developer,DECTA
Front End Developer,"['a/b testing', 'chakra ui', 'jest', 'next.js', 'typescript']",Remote,Front End Developer,Sleek
Front End Developer,"['fastapi', 'nestjs', 'node.js', 'python', 'sql', 'typescript']",Remote,Front End Developer,Talan
Front End Developer,"['angular', 'git', 'javascript', 'typescript']",On-site,Front End Developer,Analyticsmart
Front End Developer,"['angular', 'bootstrap', 'git', 'redis', 'typescript']",Remote,Front End Developer,Factor IT
